Model,Brand,Total Annual Energy Consumption (kWh/year),Total water consumption (L/cycle),Size,Type,Volume of hot water used (litres),Drying Option,Appliance Type
DD24STX6PX1,Fisher & Paykel,114,6.02,compact,built-in,5.71,power-dry off,Dishwasher
DD24STX6I1,Fisher & Paykel,114,6.02,compact,built-in,5.71,power-dry off,Dishwasher
DD24STX6HI1,Fisher & Paykel,120,6.8,compact,built-in,6.8,power-dry with fan on and heat off,Dishwasher
DD24SCTW9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24ST4NX9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24SAX9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24SCTB9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24SV2T9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24SI9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24SDFTX9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24SCTX9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24STI9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24S**9,Fisher & Paykel,144,6.2,compact,built-in,6.2,power-dry with fan on and heat off,Dishwasher
DD24SV2T9,DCS by Fisher & Paykel,144,6.21,compact,built-in,6.21,power-dry with fan on and heat off,Dishwasher
DD24SCT*9,Fisher & Paykel,151,6.85,compact,built-in,6.85,power-dry with fan on and heat off,Dishwasher
DD24SHTI9,Fisher & Paykel,152,6.8,compact,built-in,6.8,power-dry with fan on and heat off,Dishwasher
DDW631SDB,Danby,155,7.57,compact,portable,7.57,power-dry off,Dishwasher
DDW621WDB,Danby,155,7.57,compact,portable,7.57,power-dry off,Dishwasher
SD2F-P3,Fotile,160,8.35,compact,built-in,,power-dry with fan and heat on,Dishwasher
SD2F-P3L,Fotile,160,8.35,compact,built-in,,power-dry with fan and heat on,Dishwasher
MX20,Moosoo,165,7.2,compact,built-in,7.2,power-dry with fan and heat on,Dishwasher
SD2F-P1XL,Fotile,169.1,9.51,compact,built-in,0,power-dry with fan and heat on,Dishwasher
SD2F-P1X,Fotile,169.1,9.51,compact,built-in,0,power-dry with fan and heat on,Dishwasher
G6875SCVI,Miele,199,12.1,standard,built-in,0,air dry,Dishwasher
G6935SCI,Miele,199,12.1,standard,built-in,0,air dry,Dishwasher
G6987SCVI,Miele,199,12.1,standard,built-in,0,air dry,Dishwasher
G6835SCI,Miele,199,12.1,standard,built-in,0,air dry,Dishwasher
SHE9ER5#UC,Bosch,200,11,standard,built-in,11,heat-only,Dishwasher
SHX9ER5#UC,Bosch,200,11,standard,built-in,11,heat-only,Dishwasher
SHV9ER5#UC,Bosch,200,11,standard,built-in,11,heat-only,Dishwasher
DD24DTX6PX1,Fisher & Paykel,202,11.75,standard,built-in,11.75,power-dry with fan on and heat off,Dishwasher
DD24DTX6I1,Fisher & Paykel,202,11.75,standard,built-in,11.75,power-dry with fan on and heat off,Dishwasher
MDC6S5A**,Midea,203,11.7,compact,portable,11.7,power-dry off,Dishwasher
BCD6W,Black & Decker,203,11.7,compact,portable,11.7,power-dry off,Dishwasher
CDC21B12***,Comfee,203,11.7,compact,portable,11.7,power-dry off,Dishwasher
MX30,Moosoo,207,12,compact,built-in,12,power-dry with fan and heat on,Dishwasher
MX50,Moosoo,207,12,compact,built-in,12,power-dry with fan and heat on,Dishwasher
MX40,Moosoo,207,12,compact,built-in,12,power-dry with fan and heat on,Dishwasher
G4720SCI,Miele,210,12.1,standard,built-in,0,air dry,Dishwasher
G4780SCVI,Miele,210,12.1,standard,built-in,0,air dry,Dishwasher
DW24UNT4X2,Fisher & Paykel,210,12.11,standard,built-in,12.11,power-dry with fan on and heat off,Dishwasher
DW24UT4I2,Fisher & Paykel,210,12.11,standard,built-in,12.11,power-dry with fan on and heat off,Dishwasher
DWS51502****,Blomberg,220,9.02,standard,built-in,9.02,power-dry off,Dishwasher
DIS25842,Beko,220,9.02,standard,built-in,9.02,power-dry off,Dishwasher
DDS25842***,Beko,220,9.02,standard,built-in,9.02,power-dry off,Dishwasher
DW18SS4,Summit,220,9.02,standard,built-in,9.02,power-dry off,Dishwasher
DFI776*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
DBI776*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
DBI364*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
DSD565*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
DFI564*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
DBI564*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
DBI565*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
DOD561*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
DFI565*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
G6745SCU,Miele,220,12.1,standard,built-in,0,air dry,Dishwasher
G6665SCVI,Miele,220,12.1,standard,built-in,0,air dry,Dishwasher
G6625SCU,Miele,220,12.1,standard,built-in,0,air dry,Dishwasher
G6625U,Miele,220,12.1,standard,built-in,0,air dry,Dishwasher
G6785SCVI,Miele,220,12.1,standard,built-in,0,air dry,Dishwasher
G5482SCVISL,Miele,220,12.1,standard,built-in,0,air dry,Dishwasher
DD24DTX6HI1,Fisher & Paykel,221,14,standard,built-in,14,power-dry with fan on and heat off,Dishwasher
DW2450WS,Cove,224,11.09,standard,built-in,11.09,power-dry with fan on and heat off,Dishwasher
DW24UT2I2,Fisher & Paykel,224,12.11,standard,built-in,12.11,power-dry with fan on and heat off,Dishwasher
DW24UNT2X2,Fisher & Paykel,224,12.11,standard,built-in,12.11,power-dry with fan on and heat off,Dishwasher
F6DWT24SS2,Fulgor Milano,225,8.93,standard,built-in,8.93,power-dry off,Dishwasher
F6DWT24FI2,Fulgor Milano,225,8.93,standard,built-in,8.93,power-dry off,Dishwasher
DUT36520***,Beko,225,8.93,standard,built-in,8.93,power-dry off,Dishwasher
VDWU324SS,Viking,225,8.93,standard,built-in,8.93,power-dry off,Dishwasher
FDWU324,Viking,225,8.93,standard,built-in,8.93,power-dry off,Dishwasher
DWT81800****,Blomberg,225,8.93,standard,built-in,8.93,power-dry off,Dishwasher
DWT52800****,Blomberg,225,8.93,standard,built-in,8.93,power-dry off,Dishwasher
DDT38530***,Beko,225,8.93,standard,built-in,8.93,power-dry off,Dishwasher
DDT36430***,Beko,225,8.93,standard,built-in,8.93,power-dry off,Dishwasher
VDWU524SS,Viking,225,8.97,standard,built-in,8.97,power-dry off,Dishwasher
FDWU524,Viking,225,8.97,standard,built-in,8.97,power-dry off,Dishwasher
DDT39432***,Beko,225,8.97,standard,built-in,8.97,power-dry off,Dishwasher
DWT81900****,Blomberg,225,8.97,standard,built-in,8.97,power-dry off,Dishwasher
DIT39432,Beko,225,8.97,standard,built-in,8.97,power-dry off,Dishwasher
DW2450,Cove,228,11.28,standard,built-in,11.28,power-dry with fan on and heat off,Dishwasher
DUT36522***,Beko,230,8.96,standard,built-in,8.52,power-dry off,Dishwasher
DDT38532*****,Beko,230,8.96,standard,built-in,8.52,power-dry off,Dishwasher
DDT38532***,Beko,230,8.96,standard,built-in,8.52,power-dry off,Dishwasher
DIT38532,Beko,230,8.96,standard,built-in,8.52,power-dry off,Dishwasher
DDT39434*****,Beko,230,9.25,standard,built-in,9.08,power-dry off,Dishwasher
FDWU724,Viking,230,9.25,standard,built-in,9.08,power-dry off,Dishwasher
DIT39434**,Beko,230,9.25,standard,built-in,9.08,power-dry off,Dishwasher
VDWU724SS,Viking,230,9.25,standard,built-in,9.08,power-dry off,Dishwasher
DDT39434***,Beko,230,9.25,standard,built-in,9.08,power-dry off,Dishwasher
DIT39434,Beko,230,9.25,standard,built-in,9.08,power-dry off,Dishwasher
G5216SCU,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G5266SCVI,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G7106SCU,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G7156SCVI,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G7316SCU,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G7366SCVI,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G7516SCI,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G7566SCVI,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G7916SCI,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G7966SCVI,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G4976SCVISF,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G4926SCU,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G4926U,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G4971SCVI,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G4976VI,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G4976VISF,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G5056SCVI,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G5051SCVI,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G5006SCU,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G5006U,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G4998SCVISF,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G4998SCVI,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G4998VI,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G4993SCVI,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G4976SCVI,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G4948U,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
G4948SCU,Miele,230,12.1,standard,built-in,0,air dry,Dishwasher
DBI786*,Asko,230,12.11,standard,built-in,0,heat-only,Dishwasher
DFI786*,Asko,230,12.11,standard,built-in,0,heat-only,Dishwasher
DW24U6I1,Fisher & Paykel,230,13.07,standard,built-in,13.07,power-dry off,Dishwasher
G4228SCU,Miele,230,13.2,standard,built-in,0,air dry,Dishwasher
G4228U,Miele,230,13.2,standard,built-in,0,air dry,Dishwasher
DW24U2I1,Fisher & Paykel,232,12.61,standard,built-in,12.61,power-dry off,Dishwasher
DDN25401*,Beko,234,10.1,standard,built-in,10.1,power-dry off,Dishwasher
DIN25401,Beko,234,10.1,standard,built-in,10.1,power-dry off,Dishwasher
DUT25401**,Beko,234,10.1,standard,built-in,10.1,power-dry off,Dishwasher
DDT25401**,Beko,234,10.1,standard,built-in,10.1,power-dry off,Dishwasher
DIT25401,Beko,234,10.1,standard,built-in,10.1,power-dry off,Dishwasher
DDN25402*,Beko,234,10.1,standard,built-in,10.1,power-dry off,Dishwasher
DUT25401***,Beko,234,10.1,standard,built-in,10.1,power-dry off,Dishwasher
DW51600****,Blomberg,234,10.1,standard,built-in,10.1,power-dry off,Dishwasher
DWT52600****,Blomberg,234,10.1,standard,built-in,10.1,power-dry off,Dishwasher
DWT51600****,Blomberg,234,10.1,standard,built-in,10.1,power-dry off,Dishwasher
DWT25504****,Blomberg,234,10.1,standard,built-in,10.1,power-dry off,Dishwasher
DW2435SS,Summit Professional,234,10.1,standard,built-in,10.1,power-dry off,Dishwasher
DW245NT,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
ADADW24NT,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
1469#,Kenmore,234,11.36,standard,built-in,12.11,power-dry off,Dishwasher
1468#,Kenmore,234,11.36,standard,built-in,12.11,power-dry off,Dishwasher
1467#,Kenmore,234,11.36,standard,built-in,12.11,power-dry off,Dishwasher
1464#,Kenmore,234,11.36,standard,built-in,12.11,power-dry off,Dishwasher
1463#,Kenmore,234,11.36,standard,built-in,12.11,power-dry off,Dishwasher
1462#,Kenmore,234,11.36,standard,built-in,12.11,power-dry off,Dishwasher
1460#,Kenmore,234,11.36,standard,built-in,12.11,power-dry off,Dishwasher
DDW1832ESS,Danby,234,11.36,standard,built-in,11.36,power-dry with fan on and heat off,Dishwasher
DW183WADA,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
LDW18WA,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
LDW18BA,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
ADADW18SS,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
LDW18NTA,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
DW186NT,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
ADADW18NT,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
DW183W,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
ADADW18W,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
DW184BADA,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
DW184B,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
ADADW18B,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
DW185SSADA,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
LDW18SSA,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
DW185SS,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
DW186NTADA,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
DW24T3IXT,Bertazzoni,234,11.36,standard,built-in,15.75,power-dry off,Dishwasher
DW24T3IPT,Bertazzoni,234,11.36,standard,built-in,15.75,power-dry off,Dishwasher
DW24T3IXV,Bertazzoni,234,11.36,standard,built-in,15.75,power-dry off,Dishwasher
DW24T3IPV,Bertazzoni,234,11.36,standard,built-in,15.75,power-dry off,Dishwasher
DW24S3IPV,Bertazzoni,234,11.36,standard,built-in,15.75,power-dry off,Dishwasher
DW244SSADA,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
LDW24SSA,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
DW244SS,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
ADADW24SS,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
DW243BADA,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
LDW24BA,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
DW243B,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
ADADW24B,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
DW242WADA,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
LDW24WA,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
DW242W,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
ADADW24W,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
DW245NTADA,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
LDW24NTA,Summit,234,11.36,standard,built-in,10.22,power-dry off,Dishwasher
WQP8-7740-US,Loft Collection,234,11.7,standard,built-in,11.7,power-dry off,Dishwasher
UDT518SAHP,Whirlpool,234,11.7,standard,built-in,11.7,power-dry off,Dishwasher
DDW1804EW,Danby,234,11.7,standard,built-in,11.7,power-dry off,Dishwasher
DDW1804EB,Danby,234,11.7,standard,built-in,11.7,power-dry off,Dishwasher
DDW1804EBSS,Danby,234,11.7,standard,built-in,11.7,power-dry off,Dishwasher
WDF518SAH*,Whirlpool,234,11.7,standard,built-in,11.7,power-dry with fan and heat on,Dishwasher
UDT555SAHP,Whirlpool,234,13.2,standard,built-in,13.2,power-dry off,Dishwasher
WQP12-7739-US,Loft Collection,234,13.2,standard,built-in,13.2,power-dry off,Dishwasher
WDF550SAH*,Whirlpool,234,13.2,standard,built-in,13.2,power-dry with fan and heat on,Dishwasher
STU2FABRD2,Smeg,235,10.6,standard,built-in,10.6,heat-only,Dishwasher
STU2FABCR2,Smeg,235,10.6,standard,built-in,10.6,heat-only,Dishwasher
STU8633,Smeg,235,10.6,standard,built-in,10.6,heat-only,Dishwasher
LSPU8653X,Smeg,235,10.6,standard,built-in,10.6,heat-only,Dishwasher
KDW24,Hestan,235,10.6,standard,built-in,10.6,heat-only,Dishwasher
KDW24-OV,Hestan,235,10.6,standard,built-in,10.6,heat-only,Dishwasher
KDW24-XX,Hestan,235,10.6,standard,built-in,10.6,heat-only,Dishwasher
STU2FABWH2,Smeg,235,10.6,standard,built-in,10.6,heat-only,Dishwasher
STU2FABBL2,Smeg,235,10.6,standard,built-in,10.6,heat-only,Dishwasher
STU8642,Smeg,235,10.6,standard,built-in,10.6,heat-only,Dishwasher
DFI664*,Asko,235,12.1,standard,built-in,0,heat-only,Dishwasher
DBI663*,Asko,235,12.1,standard,built-in,0,heat-only,Dishwasher
DFI663*,Asko,235,12.1,standard,built-in,0,heat-only,Dishwasher
DBI664*,Asko,235,12.1,standard,built-in,0,heat-only,Dishwasher
DFI675*,Asko,235,12.1,standard,built-in,0,heat-only,Dishwasher
DBI675*,Asko,235,12.1,standard,built-in,0,heat-only,Dishwasher
DOD651*,Asko,235,13.2,standard,built-in,0,heat-only,Dishwasher
LDP679#**,LG,238,10.98,standard,built-in,10.98,power-dry with fan on and heat off,Dishwasher
LUDP890***,LG Signature,238,10.98,standard,built-in,10.98,power-dry with fan on and heat off,Dishwasher
LDT780#**,LG,238,10.98,standard,built-in,10.98,power-dry with fan on and heat off,Dishwasher
LDFN454**,LG,238,10.98,standard,built-in,10.98,power-dry with fan on and heat off,Dishwasher
